# regenerated: 2026-09-16 (#4417 — every row re-captured in ONE renderer-static run)
# Mode change, not a code change. capture.sh now pins `--bench-mode
# renderer-static` (authored camera, dt=0). Every row below this header's
# predecessors was captured with no --bench-mode, which the engine resolves to
# `system-live` (free camera, wall-clock dt). The two modes place the camera
# differently, so the frustum and the whole draw split differ. Same build:
#   system-live      draws=2197/109b/26c raster=188
#   renderer-static  draws=2204/167b/36c raster=283
# The system-live capture reproduced the previous draw rows exactly, so the
# draw-row move below is the camera, not a regression. The new `bench_mode`
# row makes the mode part of the contract. skin_pool_* now come from the
# bench: line's `skin=L/M+S` token, read at the measured frame. Draw-split
# invariant holds: 167 <= 283 <= 2204, 36 <= 2 x 167.
# entities_total 7342 -> 7414 (+0.98%, inside the band) and
# tex_missing_all_slots 6 -> 1 (informational) are carried with this regen.
# regenerated: 2026-09-03 (#3660 — measured raster-prefix command count; other rows held)
# regenerated: 2026-08-26 (#3288 — see docs/audits/AUDIT_RUNTIME_2026-08-26.md)
#
# entities_total 9271 -> 7174 (-22.6%) is NOT a regression. Bisected to
# bfdc3d3f (2026-08-23), which replaced "spawn every expanded armor candidate"
# with biped-slot occupancy resolution: only the items that actually win a slot
# now get a mesh. Pre-fix, VFSAtomicWranglerGambler spawned 29 interpenetrating
# armor meshes from 9 inventory entries; it now spawns 2. Across the cell,
# armor meshes 123 -> 24, skinned meshes 677 -> 206, unique meshes 1265 -> 772.
# Measured directly across the commit boundary:
#   e5329d64 (parent)  entities=9511 meshes=1270 draws=2608/109b/26c skinned=677
#   bfdc3d3f (fix)     entities=7174 meshes= 772 draws=2110/109b/26c skinned=206
# The 2026-08-06 baseline captured the pre-fix over-equip and baked it in, so
# the OLD numbers were the wrong ones. NPC count (19) and cell-load entities
# (~2001) are unchanged across the boundary — nothing failed to spawn.
#
# CAVEAT — bench_draws_batches 109 is a KNOWN-REGRESSED value carried forward
# under #3005, not an endorsement. It is NOT caused by the armor fix: the
# parent commit already read 109. Bisected timeline of this cell's draw split:
#   c0f3cda3 2026-08-07  2553/ 89b/25c   <- the value this baseline replaced
#   9e96a9f9 2026-08-12  2562/164b/35c   <- spike
#   d560427c 2026-08-17  2608/109b/26c   <- partial recovery, stable since
# Merge efficiency fell from 28.7 to 19.4 cmds/batch. Re-tighten this row when
# #3005 lands; until then a batch gate against 89 would be permanently red and
# would mask any NEW batching regression, which is why it is refreshed here.
#
# #3005 CLOSED 2026-08-27 at cc666a48. Re-measured
# (`--game fnv --cell FreesideAtomicWrangler --bench-frames 240`, xvfb):
# entities=7180, draws=2110/109b/26c — i.e. byte-identical to the rows below,
# so this scene is back inside the x1.1 contract on all three draw metrics.
# The cause of the 2026-08-16 finding is the depth-primary alpha-over ordering
# documented in `draw_sort_key` (`byroredux/src/render/mod.rs`, RT-1 / #2215):
# the deliberate, required cost of the #1804/#2237 compositing fix, not a
# batching defect. The sibling fo3 baseline was refreshed in the same commit
# with the same justification; it keeps a residual batch-split regression
# (96 -> 164) while its gpu_calls half recovered (9 -> 9).
#
#
# ── 2026-09-02: #3550 (RT-4) + #3553 (RT-7) + #3554 (RT-8) + #3556 (RT-10) ──
#
# #3550/RT-4 — `tex_missing_unique_paths` split into `tex_missing_base_color`
# (strict gate) + `tex_missing_all_slots` (informational); see
# `.claude/commands/audit-runtime/SKILL.md` §Phase 3. base_color stays 1
# (EXACT PASS per the RT-4 evidence table); all_slots is a new,
# non-gating row at 6 (the full 26-role surface, #3349).
#
# #3553/RT-7 — skin_pool_live 206 -> 217 (+11). skin_pool_overflow_attempts
# stays 0 and skin_pool_max stays 1364 on all five games — no pressure on
# the #1284 cap, continuing the documented benign-creep line. Regenerated;
# now advisory, not a hard gate (see skin_pool_max/overflow_attempts).
#
# #3554/RT-8 — entities_total 7174 -> 7342 (+2.34%, just past the +/-2%
# band). bench_draws_cmds is unchanged, so this is body-count creep, not
# render-load growth — the same benign pattern as the #1705/RT-3 note
# below. Regenerated.
#
# #3556/RT-10 — light_count_directional was derived from block presence
# (always 1, could never fail — #3424); the real per-emitter dump measures
# 0 directional / 30 point. Added light_count_point, corrected
# light_count_directional.
#
# bench_fps_* is advisory only under xvfb (RT-2 / #1701) — never gate on it.
# entities_total: +/-2% tolerance metric, not exact (#1705 / RT-3).
bench_mode	renderer-static
entities_total	7414
tex_missing_base_color	1
tex_missing_all_slots	1
mesh_cache_failed_count	0
light_count_point	30
light_count_directional	0
skin_pool_live	217
skin_pool_max	1364
skin_pool_overflow_attempts	0
bench_fps_p50	79.8
bench_fps_avg	79.8
bench_draws_cmds	2204
bench_draws_raster_cmds	283
bench_draws_batches	167
bench_draws_gpu_calls	36
